# z/w	Integrand for V0 = 0.0133 eV, theta = 0.2586 mrad
0.57841960	8.06302126e-01
0.57859465	8.04595193e-01
0.57876969	8.02896102e-01
0.57894474	8.01201566e-01
0.57911978	7.99511563e-01
0.57929482	7.97826068e-01
0.57946987	7.96145060e-01
0.57964491	7.94468515e-01
0.57981995	7.92796411e-01
0.57999500	7.91128724e-01
0.58017004	7.89465434e-01
0.58034509	7.87806517e-01
0.58052013	7.86154414e-01
0.58069517	7.84515471e-01
0.58087022	7.82880812e-01
0.58104526	7.81253103e-01
0.58122031	7.79630276e-01
0.58139535	7.78011643e-01
0.58157039	7.76397182e-01
0.58174544	7.74786872e-01
0.58192048	7.73180693e-01
0.58209552	7.71578625e-01
0.58227057	7.69980647e-01
0.58244561	7.68386740e-01
0.58262066	7.66803835e-01
0.58279570	7.65227166e-01
0.58297074	7.63654490e-01
0.58314579	7.62085788e-01
0.58332083	7.60521039e-01
0.58349587	7.58960224e-01
0.58367092	7.57403326e-01
0.58384596	7.55850324e-01
0.58402101	7.54301201e-01
0.58419605	7.52755937e-01
0.58437109	7.51214514e-01
0.58454614	7.49680025e-01
0.58472118	7.48156275e-01
0.58489622	7.46636291e-01
0.58507127	7.45122761e-01
0.58524631	7.43613469e-01
0.58542136	7.42107865e-01
0.58559640	7.40605932e-01
0.58577144	7.39107651e-01
0.58594649	7.37613005e-01
0.58612153	7.36121979e-01
0.58629657	7.34634554e-01
0.58647162	7.33150715e-01
0.58664666	7.31679329e-01
0.58682171	7.30212915e-01
0.58699675	7.28750016e-01
0.58717179	7.27290617e-01
0.58734684	7.25834701e-01
0.58752188	7.24382252e-01
0.58769692	7.22933255e-01
0.58787197	7.21487693e-01
0.58804701	7.20045551e-01
0.58822206	7.18606813e-01
0.58839710	7.17171464e-01
0.58857214	7.15742906e-01
0.58874719	7.14322806e-01
0.58892223	7.12906034e-01
0.58909727	7.11495145e-01
0.58927232	7.10087916e-01
0.58944736	7.08683946e-01
0.58962241	7.07283221e-01
0.58979745	7.05885726e-01
0.58997249	7.04491447e-01
0.59014754	7.03100369e-01
0.59032258	7.01712478e-01
0.59049762	7.00327761e-01
0.59067267	6.98955628e-01
0.59084771	6.97587097e-01
0.59102276	6.96221678e-01
0.59119780	6.94859359e-01
0.59137284	6.93500126e-01
0.59154789	6.92143965e-01
0.59172293	6.90790863e-01
0.59189797	6.89440807e-01
0.59207302	6.88093783e-01
0.59224806	6.86749777e-01
0.59242311	6.85408778e-01
0.59259815	6.84074891e-01
0.59277319	6.82748222e-01
0.59294824	6.81424505e-01
0.59312328	6.80106177e-01
0.59329832	6.78791016e-01
0.59347337	6.77478749e-01
0.59364841	6.76169364e-01
0.59382346	6.74862849e-01
0.59399850	6.73559191e-01
0.59417354	6.72258378e-01
0.59434859	6.70960398e-01
0.59452363	6.69665654e-01
0.59469867	6.68382802e-01
0.59487372	6.67102732e-01
0.59504876	6.65825430e-01
0.59522381	6.64550886e-01
0.59539885	6.63279087e-01
0.59557389	6.62010023e-01
0.59574894	6.60743682e-01
0.59592398	6.59480053e-01
0.59609902	6.58219123e-01
0.59627407	6.56960883e-01
0.59644911	6.55705321e-01
0.59662416	6.54457014e-01
0.59679920	6.53214626e-01
0.59697424	6.51974869e-01
0.59714929	6.50740069e-01
0.59732433	6.49508015e-01
0.59749937	6.48278542e-01
0.59767442	6.47051640e-01
0.59784946	6.45827298e-01
0.59802451	6.44605506e-01
0.59819955	6.43386253e-01
0.59837459	6.42169530e-01
0.59854964	6.40956535e-01
0.59872468	6.39753781e-01
0.59889972	6.38553511e-01
0.59907477	6.37355716e-01
0.59924981	6.36160383e-01
0.59942486	6.34967505e-01
0.59959990	6.33777071e-01
0.59977494	6.32589072e-01
0.59994999	6.31403497e-01
0.60012503	6.30220337e-01
0.60030008	6.29039583e-01
0.60047512	6.27861225e-01
0.60065016	6.26690351e-01
0.60082521	6.25524298e-01
0.60100025	6.24360601e-01
0.60117529	6.23201704e-01
0.60135034	6.22045195e-01
0.60152538	6.20890996e-01
0.60170043	6.19739098e-01
0.60187547	6.18589492e-01
0.60205051	6.17442169e-01
0.60222556	6.16297121e-01
0.60240060	6.15154338e-01
0.60257564	6.14015758e-01
0.60275069	6.12886064e-01
0.60292573	6.11758595e-01
0.60310078	6.10633344e-01
0.60327582	6.09510301e-01
0.60345086	6.08389457e-01
0.60362591	6.07270806e-01
0.60380095	6.06154338e-01
0.60397599	6.05040044e-01
0.60415104	6.03927917e-01
0.60432608	6.02817949e-01
0.60450113	6.01710131e-01
0.60467617	6.00610017e-01
0.60485121	5.99513722e-01
0.60502626	5.98419558e-01
0.60520130	5.97329744e-01
0.60537634	5.96242013e-01
0.60555139	5.95156357e-01
0.60572643	5.94072769e-01
0.60590148	5.92991241e-01
0.60607652	5.91911765e-01
0.60625156	5.90834334e-01
0.60642661	5.89758939e-01
0.60660165	5.88687952e-01
0.60677669	5.87624077e-01
0.60695174	5.86562206e-01
0.60712678	5.85502330e-01
0.60730183	5.84444443e-01
0.60747687	5.83388536e-01
0.60765191	5.82334603e-01
0.60782696	5.81282637e-01
0.60800200	5.80232629e-01
0.60817704	5.79184574e-01
0.60835209	5.78138464e-01
0.60852713	5.77094291e-01
0.60870218	5.76059151e-01
0.60887722	5.75026989e-01
0.60905226	5.73996823e-01
0.60922731	5.72970620e-01
0.60940235	5.71946295e-01
0.60957739	5.70923839e-01
0.60975244	5.69903246e-01
0.60992748	5.68884510e-01
0.61010253	5.67867623e-01
0.61027757	5.66852580e-01
0.61045261	5.65839372e-01
0.61062766	5.64830762e-01
0.61080270	5.63827960e-01
0.61097774	5.62826966e-01
0.61115279	5.61827772e-01
0.61132783	5.60830372e-01
0.61150288	5.59834760e-01
0.61167792	5.58840930e-01
0.61185296	5.57848875e-01
0.61202801	5.56858589e-01
0.61220305	5.55870066e-01
0.61237809	5.54883300e-01
0.61255314	5.53898285e-01
0.61272818	5.52922555e-01
0.61290323	5.51948861e-01
0.61307827	5.50977035e-01
0.61325331	5.50008717e-01
0.61342836	5.49042095e-01
0.61360340	5.48077164e-01
0.61377844	5.47113918e-01
0.61395349	5.46152350e-01
0.61412853	5.45192457e-01
0.61430358	5.44234230e-01
0.61447862	5.43277666e-01
0.61465366	5.42325929e-01
0.61482871	5.41378996e-01
0.61500375	5.40433699e-01
0.61517879	5.39490032e-01
0.61535384	5.38547990e-01
0.61552888	5.37607568e-01
0.61570393	5.36668759e-01
0.61587897	5.35731558e-01
0.61605401	5.34795961e-01
0.61622906	5.33861960e-01
0.61640410	5.32929552e-01
0.61657914	5.31999116e-01
0.61675419	5.31077257e-01
0.61692923	5.30156964e-01
0.61710428	5.29238447e-01
0.61727932	5.28323221e-01
0.61745436	5.27409533e-01
0.61762941	5.26497377e-01
0.61780445	5.25586749e-01
0.61797949	5.24677644e-01
0.61815454	5.23770056e-01
0.61832958	5.22863981e-01
0.61850463	5.21959413e-01
0.61867967	5.21059950e-01
0.61885471	5.20164458e-01
0.61902976	5.19270450e-01
0.61920480	5.18377922e-01
0.61937984	5.17486869e-01
0.61955489	5.16597285e-01
0.61972993	5.15709166e-01
0.61990498	5.14822508e-01
0.62008002	5.13937305e-01
0.62025506	5.13053553e-01
0.62043011	5.12171248e-01
0.62060515	5.11291426e-01
0.62078020	5.10419250e-01
0.62095524	5.09548496e-01
0.62113028	5.08679396e-01
0.62130533	5.07813171e-01
0.62148037	5.06948344e-01
0.62165541	5.06084912e-01
0.62183046	5.05222868e-01
0.62200550	5.04362210e-01
0.62218055	5.03502932e-01
0.62235559	5.02645030e-01
0.62253063	5.01788500e-01
0.62270568	5.00937331e-01
0.62288072	5.00089367e-01
0.62305576	4.99242753e-01
0.62323081	4.98397487e-01
0.62340585	4.97553563e-01
0.62358090	4.96710977e-01
0.62375594	4.95869725e-01
0.62393098	4.95029803e-01
0.62410603	4.94191207e-01
0.62428107	4.93353932e-01
0.62445611	4.92517975e-01
0.62463116	4.91684971e-01
0.62480620	4.90858606e-01
0.62498125	4.90033537e-01
0.62515629	4.89210032e-01
0.62533133	4.88389109e-01
0.62550638	4.87569461e-01
0.62568142	4.86751084e-01
0.62585646	4.85933973e-01
0.62603151	4.85118126e-01
0.62620655	4.84303537e-01
0.62638160	4.83490204e-01
0.62655664	4.82678122e-01
0.62673168	4.81871515e-01
0.62690673	4.81067371e-01
0.62708177	4.80264461e-01
0.62725681	4.79462780e-01
0.62743186	4.78662324e-01
0.62760690	4.77863090e-01
0.62778195	4.77065074e-01
0.62795699	4.76268272e-01
0.62813203	4.75472681e-01
0.62830708	4.74678296e-01
0.62848212	4.73885116e-01
0.62865716	4.73095166e-01
0.62883221	4.72310598e-01
0.62900725	4.71527214e-01
0.62918230	4.70745335e-01
0.62935734	4.69965865e-01
0.62953238	4.69187560e-01
0.62970743	4.68410416e-01
0.62988247	4.67634430e-01
0.63005751	4.66859599e-01
0.63023256	4.66085919e-01
0.63040760	4.65313387e-01
0.63058265	4.64541999e-01
0.63075769	4.63777319e-01
0.63093273	4.63014543e-01
0.63110778	4.62252893e-01
0.63128282	4.61492366e-01
0.63145786	4.60732959e-01
0.63163291	4.59974669e-01
0.63180795	4.59217492e-01
0.63198300	4.58461425e-01
0.63215804	4.57706465e-01
0.63233308	4.56952608e-01
0.63250813	4.56199852e-01
0.63268317	4.55450432e-01
0.63285821	4.54705219e-01
0.63303326	4.53961089e-01
0.63320830	4.53218404e-01
0.63338335	4.52477931e-01
0.63355839	4.51738525e-01
0.63373343	4.51000182e-01
0.63390848	4.50262899e-01
0.63408352	4.49526673e-01
0.63425856	4.48791501e-01
0.63443361	4.48057380e-01
0.63460865	4.47324308e-01
0.63478370	4.46598183e-01
0.63495874	4.45873278e-01
0.63513378	4.45149406e-01
0.63530883	4.44426562e-01
0.63548387	4.43704745e-01
0.63565891	4.42983950e-01
0.63583396	4.42264176e-01
0.63600900	4.41545420e-01
0.63618405	4.40827677e-01
0.63635909	4.40110947e-01
0.63653413	4.39395225e-01
0.63670918	4.38683206e-01
0.63688422	4.37974783e-01
0.63705926	4.37267353e-01
0.63723431	4.36561281e-01
0.63740935	4.35857154e-01
0.63758440	4.35154006e-01
0.63775944	4.34451833e-01
0.63793448	4.33750633e-01
0.63810953	4.33050403e-01
0.63828457	4.32351141e-01
0.63845961	4.31652844e-01
0.63863466	4.30955865e-01
0.63880970	4.30265333e-01
0.63898475	4.29575752e-01
