# z/w	Integrand for V0 = 0.0133 eV, theta = 0.2586 mrad
0.58139535	1.01341778e-01
0.58157039	1.01125951e-01
0.58174544	1.00910712e-01
0.58192048	1.00696058e-01
0.58209552	1.00481987e-01
0.58227057	1.00268494e-01
0.58244561	1.00055577e-01
0.58262066	9.98441784e-02
0.58279570	9.96336503e-02
0.58297074	9.94236865e-02
0.58314579	9.92142842e-02
0.58332083	9.90054406e-02
0.58349587	9.87971528e-02
0.58367092	9.85894179e-02
0.58384596	9.83822332e-02
0.58402101	9.81755959e-02
0.58419605	9.79695032e-02
0.58437109	9.77639523e-02
0.58454614	9.75593367e-02
0.58472118	9.73561404e-02
0.58489622	9.71534752e-02
0.58507127	9.69513383e-02
0.58524631	9.67497272e-02
0.58542136	9.65486393e-02
0.58559640	9.63480719e-02
0.58577144	9.61480225e-02
0.58594649	9.59484884e-02
0.58612153	9.57494673e-02
0.58629657	9.55509564e-02
0.58647162	9.53529533e-02
0.58664666	9.51566450e-02
0.58682171	9.49610295e-02
0.58699675	9.47659115e-02
0.58717179	9.45712886e-02
0.58734684	9.43771585e-02
0.58752188	9.41835188e-02
0.58769692	9.39903670e-02
0.58787197	9.37977008e-02
0.58804701	9.36055178e-02
0.58822206	9.34138159e-02
0.58839710	9.32225925e-02
0.58857214	9.30323004e-02
0.58874719	9.28431611e-02
0.58892223	9.26544913e-02
0.58909727	9.24662888e-02
0.58927232	9.22785514e-02
0.58944736	9.20912768e-02
0.58962241	9.19044629e-02
0.58979745	9.17181074e-02
0.58997249	9.15322083e-02
0.59014754	9.13467633e-02
0.59032258	9.11617703e-02
0.59049762	9.09772273e-02
0.59067267	9.07943638e-02
0.59084771	9.06120053e-02
0.59102276	9.04300881e-02
0.59119780	9.02486098e-02
0.59137284	9.00675686e-02
0.59154789	8.98869624e-02
0.59172293	8.97067892e-02
0.59189797	8.95270470e-02
0.59207302	8.93477337e-02
0.59224806	8.91688475e-02
0.59242311	8.89903863e-02
0.59259815	8.88128781e-02
0.59277319	8.86363361e-02
0.59294824	8.84602114e-02
0.59312328	8.82845020e-02
0.59329832	8.81092060e-02
0.59347337	8.79343216e-02
0.59364841	8.77598468e-02
0.59382346	8.75857799e-02
0.59399850	8.74121190e-02
0.59417354	8.72388622e-02
0.59434859	8.70660078e-02
0.59452363	8.68936082e-02
0.59469867	8.67227984e-02
0.59487372	8.65523833e-02
0.59504876	8.63823610e-02
0.59522381	8.62127299e-02
0.59539885	8.60434881e-02
0.59557389	8.58746341e-02
0.59574894	8.57061660e-02
0.59592398	8.55380821e-02
0.59609902	8.53703808e-02
0.59627407	8.52030604e-02
0.59644911	8.50361191e-02
0.59662416	8.48701613e-02
0.59679920	8.47050102e-02
0.59697424	8.45402315e-02
0.59714929	8.43758235e-02
0.59732433	8.42117846e-02
0.59749937	8.40481132e-02
